id, name1663529,Департамент развития новых территорий города Москвы
485,Управа Академического района города Москвы
500,Управа района Проспект Вернадского города Москвы
13,Префектура Восточного административного округа города Москвы
540,Управа района Метрогородок города Москвы
532,Управа района Филевский парк города Москвы
499,Управа района Марьина роща города Москвы
493,Управа района Марфино города Москвы
4216532,Департамент образования города Москвы
4147529,Управа района Хамовники города Москвы
35923603,Московская административная дорожная инспекция
551,Управа района Покровское-Стрешнево города Москвы
247519,Префектура Западного административного округа города Москвы
513,Управа района Северное Медведково города Москвы
529,Управа Савеловского района города Москвы
502,Управа района Восточное Дегунино города Москвы
42,Префектура Зеленоградского административного округа города Москвы
59,Главное контрольное управление города Москвы
463,Управа Бабушкинского района города Москвы
539,Управа района Косино-Ухтомский города Москвы
467,Управа района Нагатинский затон города Москвы
517,Управа Ярославского района города Москвы
16,Департамент города Москвы по конкурентной политике
5972,Департамент инвестиционной и промышленной политики города Москвы
6067,Управа района Митино города Москвы
265521,Префектура Троицкого и Новомосковского административных округов города Москвы
2488,Департамент градостроительной политики города Москвы
522,Управа района Коптево города Москвы
4606537,Управа Бескудниковского района города Москвы
476,Управа района Царицыно города Москвы
538,Управа района Измайлово города Москвы
204,Управление заместителя Мэра Москвы в Правительстве Москвы по вопросам социального развития
41069452,Департамент экономической политики и развития города Москвы
38,Департамент спорта города Москвы
35,Департамент торговли и услуг города Москвы
624,Департамент информационных технологий города Москвы
10,Префектура Центрального административного округа города Москвы
14,Префектура Юго-Восточного административного округа города Москвы
544,Управа района Перово города Москвы
461,Управа района Москворечье-Сабурово города Москвы
508,Управа района Марьино города Москвы
130528,Управа района Выхино-Жулебино города Москвы
491,Управа района Капотня города Москвы
492,Управа района Кузьминки города Москвы
494,Управа района Лефортово города Москвы
505,Управа района Люблино города Москвы
510,Управа района Некрасовка города Москвы
316521,Управа Нижегородского района города Москвы
518,Управа Рязанского района города Москвы
515,Управа района Печатники города Москвы
519,Управа района Текстильщики города Москвы
520,Управа Южнопортового района города Москвы
39398888,Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы
